Ignored,Octodad,14
New,Odin Sphere,10
Ignored,One Finger Death Punch,14
Completed,OneShot,14
Completed,Out There Somewhere,14
Ignored,Overwatch,4
New,Persona 2: Innocent Sin,12
Ignored,Phantasy Star 2,16
Ignored,Phantasy Star 3,16
Ignored,Phantasy Star 4,16
Ignored,Phantasy Star Zero,8
Finished,Pharaoh Rebirth+,14
Ignored,PixelJunk Eden,14
Ignored,PlayChapas,12
Started,Pokémon HeartGold,8
Started,Pokémon Mundo Misterioso: Equipo de Rescate Azul,8
Ignored,Pokémon Pinball Rubí y Zafiro,6
Finished,Pokémon Plata,5
Ignored,Pokémon Plata (GBC),3
Started,Pokémon Platino,8
Ignored,Pokémon Rubí,6
Finished,Pokémon Sol,1
Finished,Pokémon X,1
Finished,Pokémon Zafiro,6
Finished,Pokémon Zafiro Alfa,1
Finished,Polarity,14
Finished,Portal,14
Finished,Portal 2,14
Completed,Princess Remedy in a World of Hurt,14
Completed,Project Rub,8
Ignored,Project X Zone,1
Finished,Prototype,21
Started,Psychonauts,14
Finished,Puyo Pop Fever,8
Ignored,Puyo Puyo Champions,14
Finished,Puyo Puyo eSports,15
Finished,Puyo Puyo Tetris,14
Ignored,Puzzle & Dragons Z,1
Ignored,Quest of Dungeons,14
Ignored,Race the Sun,14
Ignored,Ragnarok Online,14
Ignored,Ragnarok Online 2,14
Finished,Rayman,13
Finished,Rayman 3,9
Ignored,Recettear,14
New,Resident Evil 2,14
Ignored,Resonance of Fate,21
Finished,Risk of Rain,14
New,Risk of Rain 2,14
Ignored,Ristar,16
Finished,Rivals of Aether,14
Ignored,Rock of Ages,14
Finished,Rogue Legacy,14
Ignored,Rosenkrezustilette,14
Ignored,Runbow,18
Ignored,Scoregasm,14
Ignored,SEGA GT 2002,22
Ignored,Sengoku Basara: Samurai Heroes,17
Ignored,Shadow Dancer,16
New,Shantae and the Pirate's Curse,18
Ignored,Shin Megami Tensei - Devil Summoner: Soul Hackers,1
Ignored,Shin Megami Tensei IV,1
Ignored,Shin Megami Tensei: Devil Survivor 2 Record Breaker,1
Ignored,Shin Megami Tensei: Digital Devil Saga,10
Finished,Shin Megami Tensei: Strange Journey,8
Started,Shin Megami Tensei: Strange Journey Redux,1
Ignored,Shining Force,16
Ignored,Shining Force 2,16
Ignored,Shining in the Darkness,16
Ignored,Shinobi 3,16
Completed,Shovel Knight,1
Finished,Shovel Knight: Plague Knight,2
Completed,Shovel Knight: Specter of Torment,2
Ignored,SimCity 4,9
Ignored,SimCity 4,14
Completed,Skullgirls,14
Started,Solatorobo,8
Finished,Sonic & All-Stars Racing Transformed,14
New,Sonic 3 & Knuckles,16
Finished,Sonic 3D,9
Ignored,Sonic 3D Blast,16
Ignored,Sonic Adventure,14
Finished,Sonic Adventure 2,14
New,Sonic and SEGA All Stars Racing,14
Ignored,Sonic CD,14
Finished,Sonic Colors,8
Completed,Sonic Generations,14
Completed,Sonic Mania,14
New,Sonic Mania - Encore,16
Finished,Sonic Rush,8
Finished,Sonic Rush Adventure,8
Ignored,Sonic Spinball,16
Started,Sonic The Hedgehog,16
Completed,Sonic The Hedgehog (2006),21
New,Sonic The Hedgehog 2,16
Ignored,Sonic the Hedgehog 4 Episode I,14
New,Sonic the Hedgehog 4 Episode II,14
Started,Sonic Unleashed,21
New,Space Channel 5: Part 2,14
Ignored,Space Harrier II,16
Finished,Spec Ops: The Line,14
Started,Spelunky,14
Finished,Spiderman 2,10
Completed,Star Fox 64 3D,1
Ignored,Star Fox Adventures,7
Completed,Star Fox Assault,7
Finished,Star Fox Command,8
Ignored,Star Fox Guard,18
Finished,Star Fox Zero,18
Completed,StarFox 64 (N64),20
Finished,SteamWorld Dig,14
New,Stick It To The Man!,14
Ignored,Streets of Rage,16
Ignored,Streets of Rage 2,16
Ignored,Streets of Rage 3,16
Finished,Super Mario Bros. Deluxe (GBC),3
Completed,Super Mario Galaxy,17
Started,Super Mario Galaxy 2,17
Ignored,Super Mario Kart (SNES),3
Completed,Super Mario Land 2,5
Completed,Super Mario Odyssey,15
Finished,Super Mario World (SNES),3
Started,Super Meat Boy,14
Finished,Super Metroid (SNES),3
Ignored,Super Smash Bros. Brawl,17
Ignored,Super Smash Bros. for Nintendo 3DS,1
Started,Super Smash Bros. Ultimate,15
Ignored,Super Street Fighter IV 3D Edition,1
Ignored,Super Thunder Blade,16
Ignored,Super Time Force Ultra,14
Ignored,Sword of Vermillion,16
Ignored,Swords and Soldiers II,18
Ignored,Team Fortress 2,14
Ignored,Team Kirby Clash Deluxe,1
Finished,Terraria,14
Ignored,The Beginner's Guide,14
Ignored,The Binding of Isaac,14
Finished,The Elder Scrolls V: Skyrim,14
New,The Elder Scrolls V: Skyrim - Dawnguard,16
New,The Elder Scrolls V: Skyrim - Dragonborn,16
New,The Elder Scrolls V: Skyrim - Hearthfire,16
Started,The House in Fata Morgana,14
Started,The Legend of Zelda: A Link to the Past (SNES),3
Finished,The Legend of Zelda: Breath of the Wild,18
New,The Legend of Zelda: Breath of the Wild: The Champions' Ballad,19
New,The Legend of Zelda: Breath of the Wild: The Master Trials,19
Started,The Legend of Zelda: Majora's Mask 3D,1
Finished,The Legend of Zelda: Ocarina of Time 3D,1
Finished,The Legend of Zelda: Oracle of Ages,5
Finished,The Legend of Zelda: Oracle of Ages (GBC),3
Finished,The Legend of Zelda: Oracle of Seasons,5
Completed,The Legend of Zelda: Oracle of Seasons (GBC),3
Finished,The Legend of Zelda: The Wind Waker HD,18
Finished,The Legend of Zelda: Twilight Princess,17
Ignored,The Revenge of Shinobi,16
Ignored,The Ship,14
Finished,the static speaks my name,14
Ignored,The Wonderful End of the World,14
Finished,The World Ends With You -Final Remix-,15
Ignored,Toejam and Earl,16
Ignored,Toejam and Earl in Panic on Funkotron,16
New,Tom Clancy’s The Division 2,14
Finished,Tony Hawk's Pro Skater 4,10
